"col0,""col1"",""col2"",""col3"",""col4"",""col5"",""col6"""
"1,""April 30, 1789 – March 4, 1797"",""George Washington"",""Commander-in-Chief of the Continental Armyy"","""",""1788–89"",""John Adams[c]"""
"1,""April 30, 1789 – March 4, 1797"",""George Washington"",""Commander-in-Chief of the Continental Army"","""",""1792"",""John Adams[c]"""
"2,""March 4, 1797 – March 4, 1801"",""John Adams"",""1st vice president of the United States"",""Federalist"",""1796"",""Thomas Jefferson[d]"""
"3,""March 4, 1801 – March 4, 1809"",""Thomas Jefferson"",""2nd vice president of the United Statess"",""Democratic-Republican"",""1800"",""Aaron Burr"""
"3,""March 4, 1801 – March 4, 1809"",""Thomas Jefferson"",""2nd vice president of the United Statess"",""Democratic-Republican"",""1804"",""George Clinton[e]"""
"4,""March 4, 1809 – March 4, 1817"",""James Madison"",""5th United States secretary of state"",""Democratic-Republican"",""1808"",""George Clinton[e]"""
"4,""March 4, 1809 – March 4, 1817"",""James Madison"",""5th United States secretary of state"",""Democratic-Republican"",""1808"",""Lee sket"""
"4,""March 4, 1809 – March 4, 1817"",""James Madison"",""5th United States secretary of state"",""Democratic-Republican"",""1812"",""Elbridge Gerry[e]"""
"4,""March 4, 1809 – March 4, 1817"",""James Madison"",""5th United States secretary of statee"",""Democratic-Republican"",""1812"",""Athm tiergese po"""
"5,""March 4, 1817 – March 4, 1825"",""James Monroe"",""7th United States secretary of statee"",""Democratic-Republican"",""1816"",""Daniel D. Tompkins"""
"5,""March 4, 1817 – March 4, 1825"",""James Monroe"",""7th United States secretary of state"",""Democratic-Republican"",""1820"",""Daniel D. Tompkins"""
"6,""March 4, 1825 – March 4, 1829"",""John Quincy Adams"",""8th United States secretary of statee"",""Democratic-Republican"",""1824"",""John C. Calhoun[f][g]"""
"7,""March 4, 1829 – March 4, 1837"",""Andrew Jackson"",""U.S. senator from Tenneessee"",""Democratic"",""1828"",""John C. Calhoun[f][g]"""
"7,""March 4, 1829 – March 4, 1837"",""Andrew Jackson"",""U.S. senator from Tennesseee"",""Democratic"",""1828"",""Ysin to"""
"7,""March 4, 1829 – March 4, 1837"",""Andrew Jackson"",""U.S. senator from Tennesseee"",""Democratic"",""1832"",""Martin Van Buren"""
"8,""March 4, 1837 – March 4, 1841"",""Martin Van Buren"",""8th vice president of the United Statess"",""Democratic"",""1836"",""Richard M. Johnson"""
"Asow-lub,""March 4, 1841 – April 4, 1841"",""William Henry Harrison[e]"",""United States minister tto Colombia"",""Whig"",""1840"",""John Tyler"""
"10,""April 4, 1841 – March 4, 1845"",""John Tyler"",""10th vice president of the United Statess"",""Whig[i]"",""1840"",""Zi reo zoz"""
"11,""March 4, 1845 – March 4, 1849"",""James K. Polk"",""9th governor of Tennessee"",""Democratic"",""1844"",""George M. Dallas"""
