CategoryGER,Keyword,KeywordId,StrCity,Date,Impressions,CategoryGERId
/Sport & Fitness/Sport/Fußball,infruition sport trinkflasche,298905115900,Kirchheim unter Teck,20171212,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28208794409,Herrenberg,20170706,2,2952
/Sport & Fitness/Sport/Fußball,fitness training,33323550,Baden-Baden,20170101,1,2952
/Sport & Fitness/Sport/Fußball,kinder kampfsport,5066754979,Aalen,20171203,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28208794409,Hockenheim,20170706,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28208794409,Stuttgart,20170706,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28208794409,Ludwigsburg,20170606,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28142285969,Pforzheim,20170910,1,2952
/Sport & Fitness/Sport/Fußball,fussball dummies,20001841140,Ubstadt-Weiher,20170113,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Lahr,20170706,1,2952
/Sport & Fitness/Sport/Fußball,fussball live sport,15439623616,Oberkirch,20170202,1,2952
/Sport & Fitness/Sport/Fußball,fussball turnierplan,3220944409,Karlsruhe,20170612,2,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,308771519899,Friedrichshafen,20171129,1,2952
/Sport & Fitness/Sport/Fußball,autogramm fussball,42412252270,Leonberg,20170215,1,2952
/Sport & Fitness/Sport/Fußball,fussball dummies,68475126007,Leonberg,20170103,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28142285969,Waldshut-Tiengen,20170909,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,308771519899,Herrenberg,20170928,1,2952
/Sport & Fitness/Sport/Fußball,fussball bundesliga 2016,137608315461,Wertheim am Main,20170915,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28142285969,Eberbach,20170911,1,2952
/Sport & Fitness/Sport/Fußball,fitness meerbusch,322381297099,Stuttgart,20171220,1,2952
/Sport & Fitness/Sport/Fußball,fussball bundesliga 2016,299014728180,Leimen,20171021,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28142285969,Karlsdorf-Neuthard,20170912,1,2952
/Sport & Fitness/Sport/Fußball,fussball dummies,68475126007,Karlsruhe,20170102,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28208794409,Heilbronn,20170623,2,2952
/Sport & Fitness/Sport/Fußball,kraftsport,328407226964,Teningen,20171226,1,2952
/Sport & Fitness/Sport/Fußball,autogramm fussball,11596100114,Friedrichshafen,20170102,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Lahr,20170713,2,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Sigmaringen,20170713,1,2952
/Sport & Fitness/Sport/Fußball,biathlon training,46935540,Gottmadingen,20170204,1,2952
/Sport & Fitness/Sport/Fußball,kraft sport,300375870191,Vaihingen an der Enz,20171119,1,2952
/Sport & Fitness/Sport/Fußball,fussball bundesliga 2016,299014728180,Pforzheim,20171106,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Bietigheim-Bissingen,20170713,1,2952
/Sport & Fitness/Sport/Fußball,ballmaschine tennis,41397968217,Ludwigsburg,20170111,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28142285969,Fellbach,20170719,1,2952
/Sport & Fitness/Sport/Fußball,fitness schwerte,3326912293,Sankt Georgen im Schwarzwald,20170607,1,2952
/Sport & Fitness/Sport/Fußball,fussball bundesliga 2016,355994190664,Bad Mergentheim,20171029,2,2952
/Sport & Fitness/Sport/Fußball,ballmaschine tennis,676721291,Hardheim,20171228,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28142285969,Stuttgart,20170719,1,2952
/Sport & Fitness/Sport/Fußball,fussball bundesliga 2016,299014728180,Deizisau,20171207,1,2952
/Sport & Fitness/Sport/Fußball,kinder fussball training,45507254245,Bad Wurzach,20171202,1,2952
/Sport & Fitness/Sport/Fußball,autogramm fussball,297089028843,Stuttgart,20171011,1,2952
/Sport & Fitness/Sport/Fußball,ballmaschine tennis,676721291,Rastatt,20170912,1,2952
/Sport & Fitness/Sport/Fußball,fitness eidelstedt,77365309758,Neustadt an der Donau,20170127,1,2952
/Sport & Fitness/Sport/Fußball,fussball sticker 2016,353123669447,Kehl,20171128,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Mannheim,20170719,2,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Pforzheim,20170719,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Unterfohring,20170719,2,2952
/Sport & Fitness/Sport/Fußball,fussball sticker 2016,149668635407,Radolfzell,20171203,1,2952
